Timestamp,Temperature,Apparent Temperature,Dew Point Temperature,Relative Humidity,Wet Bulb Depression,Wind Direction,Wind Speed,Wind Gust,Wind Speed,Wind Gust,Pressure QNH,Pressure MSL,Rain since 9am
22/04/2020 12:00am,14,10.6,7.8,66,3.1,N,15,20,8,11,1015.7,1015.6,0
22/04/2020 12:30am,13.5,10.6,8.1,70,2.7,N,13,17,7,9,1015.8,1015.7,0
22/04/2020 01:00am,13.7,11.3,8.5,71,2.6,NNW,11,13,6,7,1015.9,1015.8,0
22/04/2020 01:30am,13.6,10.9,8.9,73,2.4,NNW,13,17,7,9,1016,1015.9,0
22/04/2020 02:00am,14,10.2,9.2,73,2.5,NNW,19,22,10,12,1016.1,1016,0
22/04/2020 02:30am,13.9,10.5,9.1,73,2.4,NNW,17,22,9,12,1016.2,1016.1,0
22/04/2020 03:00am,13.8,10.8,9.3,74,2.3,NNW,15,19,8,10,1016.5,1016.4,0
22/04/2020 03:30am,13.5,10.5,9.4,76,2.1,NNW,15,19,8,10,1016.8,1016.7,0
22/04/2020 04:00am,13.1,10.5,9.4,78,1.9,NNW,13,19,7,10,1016.9,1016.8,0
22/04/2020 04:30am,12.9,9.9,9.4,79,1.8,NNW,15,17,8,9,1017.2,1017.1,0
22/04/2020 05:00am,12.5,9.9,9.3,81,1.6,NNW,13,15,7,8,1017.5,1017.4,0
22/04/2020 05:30am,11.6,9.2,8.8,83,1.4,NNW,11,13,6,7,1017.5,1017.4,0
22/04/2020 06:00am,12.2,9.6,9.4,83,1.4,NW,13,13,7,7,1018.1,1018,0
22/04/2020 06:30am,12.7,10.5,9.5,81,1.6,NW,11,15,6,8,1018.4,1018.3,0
22/04/2020 07:00am,11.8,9.9,9,83,1.4,NW,9,11,5,6,1018.8,1018.7,0
22/04/2020 07:30am,12.1,9.9,9.3,83,1.4,NNW,11,15,6,8,1019.1,1019,0
22/04/2020 08:00am,13.4,11.6,9.6,78,1.9,NNW,9,13,5,7,1019.5,1019.4,0
22/04/2020 08:30am,14.1,11.8,9.1,72,2.6,NW,11,19,6,10,1019.9,1019.8,0
22/04/2020 09:00am,14.3,11,9.5,73,2.5,W,17,20,9,11,1020.3,1020.2,0
22/04/2020 09:30am,15.5,12.9,10.7,73,2.6,W,15,20,8,11,1020.4,1020.3,0
22/04/2020 10:00am,16.3,12.9,11.2,72,2.7,WSW,20,28,11,15,1020.4,1020.3,0
22/04/2020 10:30am,16.5,13.1,11.4,72,2.8,WSW,20,28,11,15,1020.4,1020.3,0
22/04/2020 11:00am,15.4,12.1,11.6,78,2,WSW,20,28,11,15,1020.7,1020.6,0
22/04/2020 11:30am,15.8,12.9,11,73,2.6,SSW,17,24,9,13,1020.8,1020.7,0
22/04/2020 12:00pm,16,13.8,10.7,71,2.8,SW,13,20,7,11,1020.7,1020.6,0
22/04/2020 12:30pm,16,13.5,11.2,73,2.6,WSW,15,26,8,14,1020.4,1020.3,0
22/04/2020 01:00pm,16.2,13.6,10.7,70,2.9,SW,15,24,8,13,1020.1,1020,0
22/04/2020 01:30pm,16.5,14.2,11.6,73,2.7,SW,15,20,8,11,1020,1019.9,0
22/04/2020 02:00pm,17.2,15.4,12.1,72,2.8,WSW,13,20,7,11,1019.6,1019.5,0
22/04/2020 02:30pm,17.1,14.6,11.2,68,3.2,SSW,15,20,8,11,1019.4,1019.3,0
22/04/2020 03:00pm,18,16.9,10.6,62,4,WNW,7,15,4,8,1019.1,1019,0
22/04/2020 03:30pm,17.8,15.6,10.9,64,3.7,W,13,20,7,11,1019,1018.9,0
22/04/2020 04:00pm,18,16.1,10.6,62,4,WSW,11,17,6,9,1019.1,1019,0
22/04/2020 04:30pm,16.8,14.3,10.9,68,3.2,S,15,19,8,10,1019,1018.9,0
22/04/2020 05:00pm,16.2,14.4,10.7,70,2.9,SSE,11,15,6,8,1019,1018.9,0
22/04/2020 05:30pm,15.2,13.6,10.2,72,2.6,SSE,9,11,5,6,1019,1018.9,0
22/04/2020 06:00pm,15.1,13.6,10.7,75,2.3,S,9,15,5,8,1019,1018.9,0
22/04/2020 06:30pm,14.6,13.4,10.2,75,2.3,S,7,13,4,7,1019,1018.9,0
22/04/2020 07:00pm,13.8,12.6,10.4,80,1.8,SSE,7,9,4,5,1019.3,1019.2,0
22/04/2020 07:30pm,13.9,13.8,10.9,82,1.6,SSE,2,6,1,3,1019.7,1019.6,0
22/04/2020 08:00pm,13.3,11.4,10.5,83,1.5,SSW,11,13,6,7,1019.7,1019.6,0
22/04/2020 08:30pm,13,13.3,10.9,87,1.1,CALM,0,0,0,0,1019.6,1019.5,0
22/04/2020 09:00pm,12.6,12.9,11,90,0.8,CALM,0,0,0,0,1019.8,1019.7,0
22/04/2020 09:30pm,12.7,11.7,10.9,89,0.9,SSW,7,9,4,5,1020.3,1020.2,0
22/04/2020 10:00pm,12.8,13.1,10.9,88,1,CALM,0,0,0,0,1020.2,1020.1,0
22/04/2020 10:30pm,12.4,12.6,10.6,89,0.9,CALM,0,0,0,0,1020.4,1020.3,0
22/04/2020 11:00pm,12.4,10.9,10.6,89,0.9,SW,9,11,5,6,1020.3,1020.2,0
22/04/2020 11:30pm,12.4,10.9,10.5,88,1,WNW,9,13,5,7,1019.9,1019.8,0
23/04/2020 12:00am,9.6,7.5,8.4,92,0.6,WNW,9,11,5,6,1018.4,1018.3,0
23/04/2020 12:30am,9.9,7.5,8.7,92,0.6,WNW,11,13,6,7,1018.4,1018.3,0
23/04/2020 01:00am,9.8,7.3,8.2,90,0.8,NW,11,13,6,7,1018.3,1018.2,0
23/04/2020 01:30am,9.6,6.6,7.9,89,0.8,NNW,13,13,7,7,1017.9,1017.8,0
23/04/2020 02:00am,8.7,6,7.5,92,0.6,N,11,15,6,8,1017.8,1017.7,0
23/04/2020 02:30am,9.4,6.5,8,91,0.7,N,13,17,7,9,1017.9,1017.8,0
23/04/2020 03:00am,10.3,7,8.1,86,1.1,N,15,20,8,11,1018,1017.9,0
23/04/2020 03:30am,11.3,8.1,8.3,82,1.5,N,15,20,8,11,1018,1017.9,0
23/04/2020 04:00am,12,8.4,8.5,79,1.7,N,17,20,9,11,1018,1017.9,0
23/04/2020 04:30am,12.5,9,8.6,77,1.9,N,17,24,9,13,1017.9,1017.8,0
23/04/2020 05:00am,12.9,9.4,8.8,76,2.1,N,17,26,9,14,1018,1017.9,0
23/04/2020 05:30am,13.3,10.1,8.6,73,2.4,N,15,22,8,12,1018.2,1018.1,0
23/04/2020 06:00am,13.7,9.6,8.7,72,2.5,N,20,28,11,15,1018.6,1018.5,0
23/04/2020 06:30am,14.4,9.6,8.8,69,2.8,N,24,32,13,17,1018.4,1018.3,0
23/04/2020 07:00am,15.7,11.3,8.9,64,3.5,N,22,32,12,17,1018.3,1018.2,0
23/04/2020 07:30am,16.7,12.5,9.6,63,3.7,N,22,30,12,16,1018.1,1018,0
23/04/2020 08:00am,17,11.5,9.2,60,4.1,N,28,41,15,22,1017.8,1017.7,0
23/04/2020 08:30am,17,10.7,8.9,59,4.2,N,32,41,17,22,1017.3,1017.2,0
23/04/2020 09:00am,17.5,11.3,9.2,58,4.3,N,32,44,17,24,1016.4,1016.3,0
23/04/2020 09:30am,17.3,11,9,58,4.3,N,32,50,17,27,1016,1015.9,0
23/04/2020 10:00am,17.6,11.5,9.8,60,4.1,N,32,46,17,25,1015.9,1015.8,0
23/04/2020 10:30am,17.4,11.6,9.3,59,4.2,N,30,46,16,25,1015.4,1015.3,0
23/04/2020 11:00am,17.4,11.5,9.1,58,4.3,N,30,50,16,27,1015.2,1015.1,0
23/04/2020 11:30am,17.9,11.8,9.8,59,4.3,N,32,44,17,24,1014.6,1014.6,0
23/04/2020 12:00pm,17.8,11.6,9.4,58,4.4,N,32,50,17,27,1014.5,1014.5,0
23/04/2020 12:30pm,18.8,11.5,10.1,57,4.7,N,39,57,21,31,1014,1014,0
23/04/2020 01:00pm,18.5,12.4,10.3,59,4.4,N,33,46,18,25,1013.9,1013.9,0
23/04/2020 01:30pm,18.7,13.2,10.5,59,4.4,N,30,48,16,26,1013.8,1013.8,0
23/04/2020 02:00pm,18.4,12.2,10,58,4.5,N,33,50,18,27,1013.4,1013.4,0
23/04/2020 02:30pm,18.6,12.1,10.2,58,4.5,N,35,50,19,27,1013.4,1013.4,0
23/04/2020 03:00pm,18.6,12.6,10.2,58,4.5,N,32,50,17,27,1013.5,1013.5,0
23/04/2020 03:30pm,18.6,13,10.2,58,4.5,N,30,43,16,23,1013.5,1013.5,0
23/04/2020 04:00pm,18.5,12.5,10.1,58,4.5,N,32,46,17,25,1013.3,1013.3,0
23/04/2020 04:30pm,18.5,13.3,10.3,59,4.4,N,28,39,15,21,1013.3,1013.3,0
23/04/2020 05:00pm,18.6,14.9,10.2,58,4.5,N,20,30,11,16,1013.3,1013.3,0
23/04/2020 05:30pm,18.7,14.3,10.3,58,4.5,N,24,33,13,18,1013.4,1013.4,0
23/04/2020 06:00pm,18.8,15.6,10.1,57,4.7,N,17,28,9,15,1013.4,1013.4,0
23/04/2020 06:30pm,18.9,15.8,10.2,57,4.7,N,17,24,9,13,1013.5,1013.5,0
23/04/2020 07:00pm,18.3,16.1,10.9,62,4,NNW,13,19,7,10,1013.8,1013.8,0.2
23/04/2020 07:30pm,18.1,14.2,10.7,62,4,N,22,33,12,18,1013.4,1013.4,0.2
23/04/2020 08:00pm,18.3,14.7,10.7,61,4.1,N,20,26,11,14,1013.2,1013.2,0.2
23/04/2020 08:30pm,18.5,15.1,10.6,60,4.3,NNW,19,28,10,15,1013.4,1013.4,0.2
23/04/2020 09:00pm,18.4,15.4,10.8,61,4.1,NNW,17,26,9,14,1013.7,1013.7,0.2
23/04/2020 09:30pm,18.2,14.7,11,63,3.9,NNW,20,32,11,17,1013.9,1013.9,0.2
23/04/2020 10:00pm,17.7,14.9,11.3,66,3.5,N,17,24,9,13,1013.7,1013.7,0.2
23/04/2020 10:30pm,17.3,14.5,11.3,68,3.3,N,17,26,9,14,1013.7,1013.7,0.2
23/04/2020 11:00pm,17.2,14.7,11.2,68,3.3,N,15,20,8,11,1013.5,1013.5,0.2
23/04/2020 11:30pm,17,14.8,10.8,67,3.3,NNW,13,19,7,10,1013.4,1013.4,0.2
24/04/2020 12:00am,17.4,15.3,11.2,67,3.4,NNW,13,22,7,12,1013.2,1013.2,0.2
24/04/2020 12:30am,17.8,14,11.1,65,3.6,NNW,22,30,12,16,1013.4,1013.4,0.2
24/04/2020 01:00am,17.4,14,11.4,68,3.3,NW,20,30,11,16,1013.7,1013.7,0.2
24/04/2020 01:30am,17.2,14.6,11.9,71,2.9,NW,17,22,9,12,1014.1,1014.1,0.2
24/04/2020 02:00am,16.4,14.1,13.1,81,1.8,WNW,17,26,9,14,1014.4,1014.4,0.2
24/04/2020 02:30am,16.2,15.3,13.7,85,1.4,NW,11,15,6,8,1014.6,1014.6,0.2
24/04/2020 03:00am,16.1,15.5,13.6,85,1.4,NW,9,13,5,7,1014.5,1014.5,0.2
24/04/2020 03:30am,16.2,15.5,13.3,83,1.6,NW,9,11,5,6,1014.6,1014.6,0.2
24/04/2020 04:00am,16.6,15.1,13.1,80,2,WNW,13,19,7,10,1014.7,1014.7,0.2
24/04/2020 04:30am,16.2,15,12.7,80,1.9,WNW,11,13,6,7,1015,1015,0.2
24/04/2020 05:00am,15.8,13.8,12.7,82,1.7,W,15,19,8,10,1015.4,1015.3,0.2
24/04/2020 05:30am,15,12.5,12.3,84,1.5,WSW,17,20,9,11,1015.9,1015.8,0.2
24/04/2020 06:00am,14.3,12.3,11.5,83,1.5,WSW,13,17,7,9,1016.2,1016.1,0.2
24/04/2020 06:30am,14.4,12.5,11.7,84,1.5,W,13,19,7,10,1016.4,1016.3,0.2
24/04/2020 07:00am,13.9,12.2,11.2,84,1.4,W,11,17,6,9,1016.6,1016.5,0.2
24/04/2020 07:30am,14.4,13.6,11.6,83,1.5,W,7,9,4,5,1017.1,1017,0.2
24/04/2020 08:00am,15.2,13.4,12,81,1.7,W,13,15,7,8,1017.4,1017.3,0.2
24/04/2020 08:30am,15.7,14.1,11.7,77,2.2,WNW,11,20,6,11,1017.9,1017.8,0.2
24/04/2020 09:00am,16.6,14.9,12.4,76,2.3,W,13,17,7,9,1018.3,1018.2,0.2
24/04/2020 09:30am,16.9,13.9,10.5,66,3.4,WNW,17,22,9,12,1018.6,1018.5,0
24/04/2020 10:00am,17.2,13.4,9.9,62,3.9,W,20,30,11,16,1018.8,1018.7,0
24/04/2020 10:30am,17.7,14.9,10.1,61,4,W,15,26,8,14,1018.8,1018.7,0
24/04/2020 11:00am,18.1,15.5,9.5,57,4.5,W,13,20,7,11,1018.5,1018.4,0
24/04/2020 11:30am,18.5,16,9.6,56,4.7,WNW,13,20,7,11,1018.7,1018.6,0
24/04/2020 12:00pm,18.9,15.9,9.1,53,5.1,WNW,15,24,8,13,1018.6,1018.5,0
24/04/2020 12:30pm,19.2,15.9,9.4,53,5.2,WNW,17,26,9,14,1018.1,1018,0
24/04/2020 01:00pm,20.5,18.5,10,51,5.7,NW,11,17,6,9,1017.6,1017.5,0
24/04/2020 01:30pm,20.3,18.6,9.8,51,5.6,W,9,15,5,8,1017.5,1017.4,0
24/04/2020 02:00pm,21,18.8,9.3,47,6.2,W,11,17,6,9,1017.3,1017.2,0
24/04/2020 02:30pm,21.1,19.1,10,49,6,WSW,11,17,6,9,1017.5,1017.4,0
24/04/2020 03:00pm,21.5,19.1,10,48,6.2,SW,13,20,7,11,1017.6,1017.5,0
24/04/2020 03:30pm,21.5,19,9.7,47,6.4,WSW,13,19,7,10,1017.6,1017.5,0
24/04/2020 04:00pm,22,20.5,10.5,48,6.3,WSW,9,13,5,7,1017.6,1017.5,0
24/04/2020 04:30pm,21.9,20.6,9.1,44,6.8,WNW,6,11,3,6,1017.7,1017.6,0
24/04/2020 05:00pm,20.3,18.2,9.8,51,5.6,WSW,11,13,6,7,1017.8,1017.7,0
24/04/2020 05:30pm,18,16.3,9.9,59,4.3,SW,9,13,5,7,1018.1,1018,0
24/04/2020 06:00pm,17.8,17.1,9.9,60,4.2,S,4,6,2,3,1018.4,1018.3,0
24/04/2020 06:30pm,17.4,17.5,10.1,62,3.9,CALM,0,0,0,0,1018.8,1018.7,0
24/04/2020 07:00pm,16.1,15,10,67,3.2,ESE,6,7,3,4,1018.9,1018.8,0
24/04/2020 07:30pm,15.8,14.5,10.1,69,3,ESE,7,7,4,4,1019.1,1019,0
24/04/2020 08:00pm,16,15.6,9.9,67,3.2,ESE,2,7,1,4,1019.2,1019.1,0
24/04/2020 08:30pm,15.6,14.3,9.9,69,3,ESE,7,11,4,6,1019.3,1019.2,0
24/04/2020 09:00pm,15.4,13.5,10.6,73,2.5,N,11,13,6,7,1019.3,1019.2,0
24/04/2020 09:30pm,15.2,12.5,10.2,72,2.6,NNW,15,19,8,10,1019.2,1019.1,0
24/04/2020 10:00pm,15.1,12.8,10.3,73,2.5,NNW,13,17,7,9,1019.2,1019.1,0
24/04/2020 10:30pm,14.7,11.5,10.1,74,2.4,NNW,17,20,9,11,1019.2,1019.1,0
24/04/2020 11:00pm,14.2,11,10,76,2.2,N,17,19,9,10,1019,1018.9,0
24/04/2020 11:30pm,14.3,11,9.7,74,2.4,N,17,20,9,11,1018.8,1018.7,0
